timestamp,open,high,low,close,volume
1784534400,333.26,334.33,332.91,333.89,53734
1784535300,334.0,334.24,333.31,333.64,4640
1784536200,333.36,333.56,333.16,333.33,2906
1784537100,333.3,333.51,333.15,333.51,1397
1784538000,333.55,333.58,333.3,333.33,3680
1784538900,333.28,333.6,333.2,333.56,4910
1784539800,333.44,333.61,333.35,333.46,3278
1784540700,333.5,333.61,333.16,333.29,4311
1784541600,333.21,333.73,332.6,332.72,8784
1784542500,332.75,332.79,332.6,332.67,3910
1784543400,332.89,335.0,332.78,332.83,46574
1784544300,332.81,333.15,332.62,333.15,3841
1784545200,332.99,333.0,331.94,332.3,40025
1784546100,332.35,332.4,331.27,331.85,31419
1784547000,331.85,332.8,331.84,332.02,39778
1784547900,332.09,332.23,331.5,331.57,24444
1784548800,331.6,331.66,331.27,331.34,43931
1784549700,331.42,332.47,331.4,332.47,22936
1784550600,332.3,332.39,332.0,332.05,756279
1784551500,332.11,332.65,332.04,332.55,22537
1784552400,332.54,332.59,332.0,332.48,19776
1784553300,332.35,333.67,332.04,333.02,61876
1784554200,333.5,333.71,330.02,330.58,3342380
1784555100,330.64,330.87,328.4,328.9,2072495
1784556000,328.88,329.01,327.12,327.17,2056026
1784556900,327.16,327.42,326.11,327.02,2489941
1784557800,327.0,328.02,326.59,327.96,1562804
1784558700,327.96,327.96,326.02,326.43,1359117
1784559600,326.45,327.01,324.82,324.96,2006172
1784560500,324.96,325.35,324.42,324.9,2384781
1784561400,324.94,326.52,324.9,326.01,1241775
1784562300,326.01,326.55,325.13,325.98,1157151
1784563200,325.98,326.04,324.94,325.22,1152618
1784564100,325.22,325.67,324.87,325.0,1145232
1784565000,325.0,325.09,323.68,324.42,1739535
1784565900,324.4,324.85,324.0,324.25,830741
1784566800,324.26,325.16,323.91,324.8,891148
1784567700,324.79,324.97,324.4,324.72,665225
1784568600,324.73,325.07,324.2,324.35,1792680
1784569500,324.36,325.38,324.3,324.78,764530
1784570400,324.77,325.8,324.65,325.47,1149349
