timestamp,open,high,low,close,volume
1725458400,211.98,212.97,211.59,212.50,45731000
1725459300,212.50,213.41,212.22,213.10,46462000
1725460200,213.10,214.37,212.71,213.90,47193000
1725461100,213.90,214.86,213.62,214.55,47924000
1725462000,214.55,215.49,214.16,215.02,48655000
1725462900,215.02,215.33,213.92,214.20,49386000
1725463800,214.20,214.67,213.21,213.60,50117000
1725464700,213.60,213.91,212.67,212.95,50848000
1725465600,212.95,213.42,212.49,212.88,51579000
1725466500,212.88,213.36,212.60,213.05,52310000
1725467400,213.05,213.52,212.51,212.90,53041000
1725468300,212.90,213.21,212.47,212.75,53772000
1725469200,212.75,213.57,212.36,213.10,54503000
1725470100,213.10,213.41,212.67,212.95,55234000
1725471000,212.95,213.67,212.56,213.20,55965000
1725471900,213.20,213.51,212.80,213.08,56696000
1725472800,213.08,213.82,212.69,213.35,57427000
1725473700,213.35,213.66,212.94,213.22,58158000
1725474600,213.22,213.97,212.83,213.50,58889000
1725475500,213.50,213.81,213.13,213.41,59620000
1725476400,213.41,214.09,213.02,213.62,60351000
1725477300,213.62,213.93,213.22,213.50,61082000
1725478200,213.50,214.18,213.11,213.71,61813000
1725479100,213.71,214.02,213.30,213.58,62544000
1725480000,213.58,214.27,213.19,213.80,63275000
