ticker,timestamp,open,high,low,close,volume
AAPL,1788940800,316.89,317.96,316.5,316.73,91706
AAPL,1788941700,316.66,316.83,316.38,316.42,19513
AAPL,1788942600,316.42,316.6,316.2,316.2,18497
AAPL,1788943500,316.21,316.33,316.0,316.0,25557
AAPL,1788944400,316.0,316.31,316.0,316.28,17152
AAPL,1788945300,316.22,316.28,315.99,316.13,17021
AAPL,1788946200,316.05,316.15,315.75,315.88,20558
AAPL,1788947100,315.85,315.99,315.5,315.75,11345
AAPL,1788948000,315.62,316.07,315.61,315.99,18214
AAPL,1788948900,315.96,316.61,315.94,316.11,11982
AAPL,1788949800,316.06,316.06,315.58,315.66,16661
AAPL,1788950700,315.66,315.83,315.25,315.42,18394
AAPL,1788951600,315.3,315.4,315.03,315.16,37385
AAPL,1788952500,315.17,315.73,315.06,315.58,22053
AAPL,1788953400,315.57,315.58,315.18,315.28,18087
AAPL,1788954300,315.28,315.66,315.11,315.17,21478
AAPL,1788955200,315.23,315.4,314.95,315.0,36532
AAPL,1788956100,314.91,315.26,314.73,315.14,37670
AAPL,1788957000,315.09,315.47,315.0,315.2,17706
AAPL,1788957900,315.25,315.35,314.9,315.16,39258
AAPL,1788958800,315.11,315.39,315.01,315.25,37077
AAPL,1788959700,315.18,315.69,314.81,315.44,58692
AAPL,1788960600,315.49,316.21,315.02,315.85,2250083
AAPL,1788961500,315.85,318.0,315.5,317.87,1655014
AAPL,1788962400,317.86,318.13,315.51,315.54,1732848
AAPL,1788963300,315.55,315.69,314.33,314.75,1553709
AAPL,1788964200,314.71,314.72,312.95,313.24,1484651
AAPL,1788965100,313.22,313.75,313.1,313.38,1170729
AAPL,1788966000,313.39,313.42,312.17,312.23,1498321
AAPL,1788966900,312.23,312.76,312.11,312.5,1085465
AAPL,1788967800,312.5,313.59,312.22,313.29,1444405
AAPL,1788968700,313.28,313.6,312.92,313.18,971565
AAPL,1788969600,313.17,313.5,312.86,313.38,715470
AAPL,1788970500,313.37,313.71,313.24,313.67,1559989
AAPL,1788971400,313.67,314.38,313.44,314.34,920254
AAPL,1788972300,314.33,314.37,313.58,314.01,1004903
AAPL,1788973200,314.0,315.0,312.31,312.86,2985759
AAPL,1788974100,312.83,313.11,310.97,311.74,3065241
AAPL,1788975000,311.74,313.34,311.05,312.52,2739366
AAPL,1788975900,312.51,314.36,312.13,313.25,3083490
AAPL,1788976800,313.25,313.79,310.05,310.05,3136041
AAPL,1788977700,310.06,313.43,309.9,312.13,5212489
AAPL,1788978600,312.13,314.28,311.95,314.12,1571364
AAPL,1788979500,314.11,319.15,313.76,316.67,6623804
AAPL,1788980400,316.68,317.2,315.14,315.86,3167806
AAPL,1788981300,315.88,316.36,315.16,315.57,1524927
AAPL,1788982200,315.58,315.89,314.88,315.77,1559119
AAPL,1788983100,315.76,315.94,315.02,315.42,3409992
AAPL,1788984000,315.34,316.05,315.22,315.83,476345
AAPL,1788984900,315.83,316.1,315.34,315.92,99650
AAPL,1788985800,315.95,316.0,315.34,315.86,102347
AAPL,1788986700,315.87,316.0,315.86,315.94,42796
AAPL,1788987600,315.91,315.98,315.88,315.92,18226
AAPL,1788988500,315.95,315.98,315.87,315.88,10664
AAPL,1788989400,315.85,316.18,315.85,316.18,37216
AAPL,1788990300,316.17,317.6,316.17,317.38,148213
AAPL,1788991200,317.3,317.5,316.9,317.03,47581
AAPL,1788992100,317.0,317.55,316.81,317.52,37548
AAPL,1788993000,317.48,317.65,317.3,317.48,47879
AAPL,1788993900,317.35,317.64,317.28,317.6,33964
AAPL,1788994800,317.63,317.69,317.2,317.27,23858
AAPL,1788995700,317.27,317.98,317.27,317.98,34100
AAPL,1788996600,317.94,318.2,317.8,318.14,51365
AAPL,1788997500,318.15,318.16,317.56,318.1,35776
AAPL,1789027200,317.5,318.1,316.75,318.1,134277
AAPL,1789028100,318.1,318.87,317.86,318.8,50920
AAPL,1789029000,318.67,318.95,318.51,318.7,40035
AAPL,1789029900,318.7,319.5,318.7,319.5,49953
AAPL,1789030800,319.5,319.5,318.63,318.89,33250
AAPL,1789031700,318.99,319.0,318.42,318.45,20377
AAPL,1789032600,318.42,318.96,318.31,318.96,19938
AAPL,1789033500,319.0,319.1,318.62,318.83,22123
AAPL,1789034400,318.95,319.11,318.8,318.81,18411
AAPL,1789035300,318.99,319.15,318.73,319.12,15949
AAPL,1789036200,319.07,320.0,318.89,319.62,50422
AAPL,1789037100,319.6,319.65,319.01,319.03,58509
AAPL,1789038000,319.05,319.32,318.52,318.8,62854
AAPL,1789038900,318.87,318.9,318.26,318.26,38726
AAPL,1789039800,318.32,318.6,318.03,318.11,47777
AAPL,1789040700,318.1,318.22,317.06,317.67,101817
AAPL,1789041600,317.7,318.32,317.6,318.07,70503
AAPL,1789042500,318.07,318.29,317.38,317.85,53154
AAPL,1789043400,317.82,317.9,316.4,316.55,144634
AAPL,1789044300,316.54,317.45,316.2,316.65,157766
AAPL,1789045200,316.65,317.5,316.65,317.29,109393
AAPL,1789046100,317.26,317.69,316.0,316.57,154825
AAPL,1789047000,316.67,323.13,316.51,319.94,8018116
AAPL,1789047900,319.94,321.18,317.84,318.93,2898887
AAPL,1789048800,318.84,320.0,318.11,319.34,2171820
AAPL,1789049700,319.31,320.0,318.75,318.95,1254989
